agency_cd,site_no,datetime,tz_cd,datetime,101280_00060,101280_00060_cd,
USGS,8353000,9/2/2019,8:45,9/2/2019 8:45,MDT,0.07,P
USGS,8353000,9/2/2019,9:00,9/2/2019 9:00,MDT,0.07,P
USGS,8353000,9/2/2019,9:15,9/2/2019 9:15,MDT,0.07,P
USGS,8353000,9/2/2019,9:30,9/2/2019 9:30,MDT,0.07,P
USGS,8353000,9/2/2019,9:45,9/2/2019 9:45,MDT,0.07,P
USGS,8353000,9/2/2019,10:00,9/2/2019 10:00,MDT,0.07,P
USGS,8353000,9/2/2019,10:15,9/2/2019 10:15,MDT,0.07,P
USGS,8353000,9/2/2019,10:30,9/2/2019 10:30,MDT,0.07,P
USGS,8353000,9/2/2019,10:45,9/2/2019 10:45,MDT,0.07,P
USGS,8353000,9/2/2019,11:00,9/2/2019 11:00,MDT,0.07,P
USGS,8353000,9/2/2019,11:15,9/2/2019 11:15,MDT,0.07,P
USGS,8353000,9/2/2019,11:30,9/2/2019 11:30,MDT,0.07,P
USGS,8353000,9/2/2019,11:45,9/2/2019 11:45,MDT,0.07,P
USGS,8353000,9/2/2019,12:00,9/2/2019 12:00,MDT,0.07,P
USGS,8353000,9/2/2019,12:15,9/2/2019 12:15,MDT,0.07,P
USGS,8353000,9/2/2019,12:30,9/2/2019 12:30,MDT,0.07,P
USGS,8353000,9/2/2019,12:45,9/2/2019 12:45,MDT,0.07,P
USGS,8353000,9/2/2019,13:00,9/2/2019 13:00,MDT,0.07,P
USGS,8353000,9/2/2019,13:15,9/2/2019 13:15,MDT,0.06,P
USGS,8353000,9/2/2019,13:30,9/2/2019 13:30,MDT,0.07,P
USGS,8353000,9/2/2019,13:45,9/2/2019 13:45,MDT,0.06,P
